protein,coefficient,enrichment,recall,precision,celltype.l3,protein_order
CD72,0.302,83.771,0.001,1.000,B intermediate kappa,1
IgM,0.952,10.258,0.016,0.122,B intermediate kappa,2
CD24,1.053,19.236,0.056,0.230,B intermediate kappa,3
`CD307c/FcRL3`,0.314,35.823,0.118,0.428,B intermediate kappa,4
CD25,0.904,40.210,0.163,0.480,B intermediate kappa,5
CD73,-0.864,40.334,0.189,0.481,B intermediate kappa,6
CD19,1.061,42.079,0.198,0.502,B intermediate kappa,7
`CD38-1`,-1.238,44.150,0.283,0.527,B intermediate kappa,8
CD18,-0.969,44.592,0.284,0.532,B intermediate kappa,9
CD81,-1.710,44.758,0.304,0.534,B intermediate kappa,10
CD19,1.285,67.595,0.031,0.976,B intermediate lambda,1
IgM,0.406,35.096,0.028,0.507,B intermediate lambda,2
CD72,0.791,35.936,0.031,0.519,B intermediate lambda,3
CD1c,0.374,38.107,0.062,0.550,B intermediate lambda,4
CD11c,0.766,44.046,0.167,0.636,B intermediate lambda,5
CD73,-0.572,44.668,0.202,0.645,B intermediate lambda,6
`CD38-2`,-1.656,43.234,0.285,0.624,B intermediate lambda,7
CD45RA,1.169,40.955,0.291,0.591,B intermediate lambda,8
CD21,-0.676,43.733,0.324,0.632,B intermediate lambda,9
CD57,-0.755,44.018,0.329,0.636,B intermediate lambda,10
CD19,1.850,1.616,0.001,0.036,B memory kappa,1
CD35,1.237,12.816,0.016,0.283,B memory kappa,2
CD27,0.245,21.546,0.220,0.476,B memory kappa,3
CD71,0.068,22.698,0.237,0.502,B memory kappa,4
CD73,0.044,23.460,0.263,0.518,B memory kappa,5
IgD,-1.083,25.996,0.485,0.574,B memory kappa,6
CD305,-0.575,25.924,0.488,0.573,B memory kappa,7
IgM,-0.694,25.770,0.499,0.569,B memory kappa,8
`CD44-2`,-1.216,26.003,0.501,0.575,B memory kappa,9
CD72,-0.350,26.667,0.517,0.589,B memory kappa,10
CD19,1.196,6.154,0.001,0.083,B memory lambda,1
CD73,0.294,36.922,0.001,0.500,B memory lambda,2
CD27,0.022,23.993,0.072,0.325,B memory lambda,3
CD35,0.768,26.966,0.104,0.365,B memory lambda,4
CD45RA,0.398,26.136,0.101,0.354,B memory lambda,5
IgD,-1.198,31.459,0.210,0.426,B memory lambda,6
CD305,-0.383,29.778,0.199,0.403,B memory lambda,7
IgM,-0.509,30.275,0.217,0.410,B memory lambda,8
CD31,-0.311,30.541,0.215,0.414,B memory lambda,9
CD2,-0.740,30.360,0.213,0.411,B memory lambda,10
CD72,0.747,10.308,0.388,0.503,B naive kappa,1
IgD,0.892,10.990,0.490,0.536,B naive kappa,2
CD73,0.686,13.118,0.623,0.640,B naive kappa,3
CD243,0.725,13.180,0.633,0.643,B naive kappa,4
`CD56-2`,0.330,13.170,0.634,0.643,B naive kappa,5
CD45RA,-1.224,13.424,0.663,0.655,B naive kappa,6
CD22,0.810,13.506,0.672,0.659,B naive kappa,7
`TCR-V-9`,0.303,13.550,0.671,0.661,B naive kappa,8
CD90,0.395,13.550,0.671,0.661,B naive kappa,9
CD137,0.497,13.564,0.673,0.662,B naive kappa,10
IgD,0.606,12.456,0.181,0.387,B naive lambda,1
CD72,1.160,13.069,0.154,0.406,B naive lambda,2
CD200,0.250,12.834,0.158,0.399,B naive lambda,3
CD123,0.091,12.862,0.157,0.400,B naive lambda,4
`Rat-IgG1-2`,-0.067,12.711,0.152,0.395,B naive lambda,5
CD27,-0.844,13.509,0.196,0.420,B naive lambda,6
CD49d,-1.191,13.325,0.185,0.414,B naive lambda,7
`CD11a/CD18`,-0.181,13.341,0.185,0.415,B naive lambda,8
`CD38-2`,0.953,16.642,0.287,0.517,B naive lambda,9
CD45RA,-0.478,16.587,0.288,0.516,B naive lambda,10
CD71,0.913,8.761,0.006,0.030,Plasma,1
`CD38-2`,2.521,215.456,0.486,0.745,Plasma,2
CD39,2.895,238.242,0.646,0.824,Plasma,3
CD319,4.364,241.494,0.683,0.835,Plasma,4
CD95,0.485,244.564,0.705,0.846,Plasma,5
CD119,-3.182,245.865,0.730,0.850,Plasma,6
`CD45-2`,-3.088,248.857,0.755,0.861,Plasma,7
`CD133-1`,-1.248,250.168,0.765,0.865,Plasma,8
CD54,0.231,250.168,0.765,0.865,Plasma,9
CD2,0.474,251.058,0.765,0.868,Plasma,10
CD71,1.370,235.286,0.020,0.125,Plasmablast,1
CD39,2.009,941.143,0.020,0.500,Plasmablast,2
C5L2,1.729,941.143,0.020,0.500,Plasmablast,3
CD105,0.761,941.143,0.020,0.500,Plasmablast,4
`CD3-2`,-0.014,627.429,0.020,0.333,Plasmablast,5
CD354,-1.503,627.429,0.020,0.333,Plasmablast,6
CD366,-0.647,627.429,0.020,0.333,Plasmablast,7
CD20,-2.106,941.143,0.041,0.500,Plasmablast,8
CD252,1.584,941.143,0.041,0.500,Plasmablast,9
CD301,-0.091,941.143,0.041,0.500,Plasmablast,10
`CD4-1`,5.895,26.549,0.001,0.500,CD4 CTL,1
CD43,2.954,31.513,0.241,0.593,CD4 CTL,2
CD195,1.491,30.985,0.273,0.584,CD4 CTL,3
CD57,1.330,35.829,0.368,0.675,CD4 CTL,4
`CD138-1`,3.519,37.447,0.410,0.705,CD4 CTL,5
CD27,-2.330,39.110,0.607,0.737,CD4 CTL,6
`CD26-2`,-3.011,44.680,0.776,0.841,CD4 CTL,7
CD71,-2.422,45.846,0.815,0.863,CD4 CTL,8
CD28,-4.689,49.139,0.886,0.925,CD4 CTL,9
CD141,-1.071,49.185,0.890,0.926,CD4 CTL,10
`CD4-1`,3.650,6.830,0.000,0.333,CD4 Naive,1
CD45RB,1.936,12.426,0.373,0.606,CD4 Naive,2
GP130,2.859,14.910,0.569,0.728,CD4 Naive,3
CD45RA,2.327,15.885,0.668,0.775,CD4 Naive,4
CD27,1.274,16.183,0.693,0.790,CD4 Naive,5
CD25,-3.647,17.992,0.812,0.878,CD4 Naive,6
CD18,-4.007,18.245,0.852,0.890,CD4 Naive,7
CD95,-3.074,18.424,0.865,0.899,CD4 Naive,8
CD73,-0.593,18.450,0.866,0.900,CD4 Naive,9
CD123,-0.732,18.514,0.869,0.903,CD4 Naive,10
CD278,2.211,320.959,0.101,0.379,CD4 Proliferating,1
CD71,1.251,414.448,0.220,0.490,CD4 Proliferating,2
CD335,0.853,397.180,0.211,0.469,CD4 Proliferating,3
CD294,0.898,389.236,0.211,0.460,CD4 Proliferating,4
CD126,-1.095,370.197,0.193,0.438,CD4 Proliferating,5
CD338,0.151,370.197,0.193,0.438,CD4 Proliferating,6
CD267,-0.632,387.826,0.202,0.458,CD4 Proliferating,7
`CD133-2`,-0.209,405.454,0.211,0.479,CD4 Proliferating,8
`Rat-IgG1-2`,-0.982,405.454,0.211,0.479,CD4 Proliferating,9
C5L2,0.989,423.083,0.220,0.500,CD4 Proliferating,10
`CD4-1`,1.352,10.246,0.000,0.500,CD4 TCM_1,1
CD127,0.962,4.098,0.000,0.200,CD4 TCM_1,2
CD27,0.796,4.483,0.005,0.219,CD4 TCM_1,3
CD45RO,0.688,7.555,0.065,0.369,CD4 TCM_1,4
CD126,1.530,10.261,0.145,0.501,CD4 TCM_1,5
CD195,-1.060,10.213,0.173,0.498,CD4 TCM_1,6
CD45RA,-1.772,9.944,0.190,0.485,CD4 TCM_1,7
CD73,-0.889,10.775,0.244,0.526,CD4 TCM_1,8
`CD26-2`,-1.429,12.559,0.361,0.613,CD4 TCM_1,9
CD49d,-0.790,13.273,0.395,0.648,CD4 TCM_1,10
CD278,2.208,89.177,0.286,0.574,CD4 TCM_2,1
CD279,1.163,94.238,0.325,0.607,CD4 TCM_2,2
`CD4-1`,1.818,101.451,0.359,0.653,CD4 TCM_2,3
CD95,0.676,99.465,0.372,0.641,CD4 TCM_2,4
CD11c,0.389,97.948,0.365,0.631,CD4 TCM_2,5
CD48,-1.834,101.336,0.418,0.653,CD4 TCM_2,6
CD81,-1.648,103.515,0.431,0.667,CD4 TCM_2,7
`Integrin-7`,-0.418,102.843,0.429,0.662,CD4 TCM_2,8
`CD26-2`,-0.804,103.117,0.436,0.664,CD4 TCM_2,9
CD127,-0.883,100.471,0.444,0.647,CD4 TCM_2,10
`CD4-1`,1.814,7.852,0.009,0.383,CD4 TCM_3,1
CD127,1.897,10.399,0.173,0.507,CD4 TCM_3,2
`CD26-2`,1.017,11.175,0.263,0.545,CD4 TCM_3,3
CD29,1.267,13.422,0.445,0.655,CD4 TCM_3,4
CD196,1.766,13.865,0.489,0.677,CD4 TCM_3,5
`Integrin-7`,-1.409,14.499,0.579,0.708,CD4 TCM_3,6
CD81,-1.985,15.060,0.620,0.735,CD4 TCM_3,7
`TCR-2`,-1.010,14.959,0.628,0.730,CD4 TCM_3,8
CD195,-1.462,15.493,0.648,0.756,CD4 TCM_3,9
`CD38-1`,-1.031,15.506,0.652,0.757,CD4 TCM_3,10
`CD4-1`,1.812,27.016,0.001,0.500,CD4 TEM_1,1
`CD26-2`,1.680,25.521,0.065,0.472,CD4 TEM_1,2
CD18,2.557,30.584,0.158,0.566,CD4 TEM_1,3
CD279,0.995,29.463,0.169,0.545,CD4 TEM_1,4
CD127,0.144,29.389,0.170,0.544,CD4 TEM_1,5
CD27,-0.915,31.450,0.224,0.582,CD4 TEM_1,6
CD278,-0.568,31.185,0.219,0.577,CD4 TEM_1,7
CD54,-0.929,31.290,0.234,0.579,CD4 TEM_1,8
CD35,-1.075,32.189,0.246,0.596,CD4 TEM_1,9
`TCR-V-7.2`,-0.665,31.788,0.254,0.588,CD4 TEM_1,10
`CD4-1`,1.724,203.603,0.002,1.000,CD4 TEM_2,1
CD279,2.259,36.648,0.020,0.180,CD4 TEM_2,2
CD81,2.405,98.836,0.110,0.485,CD4 TEM_2,3
CD45RO,1.492,111.981,0.121,0.550,CD4 TEM_2,4
CD294,1.378,117.770,0.130,0.578,CD4 TEM_2,5
CD25,-1.432,120.465,0.157,0.592,CD4 TEM_2,6
CD161,-2.750,126.234,0.205,0.620,CD4 TEM_2,7
CD278,-1.113,140.956,0.238,0.692,CD4 TEM_2,8
CD271,-1.359,144.219,0.263,0.708,CD4 TEM_2,9
CD102,-0.738,141.688,0.263,0.696,CD4 TEM_2,10
`CD4-1`,1.527,22.551,0.000,0.500,CD4 TEM_3,1
`Integrin-7`,2.070,32.101,0.450,0.712,CD4 TEM_3,2
CD127,1.922,33.818,0.557,0.750,CD4 TEM_3,3
CD49a,0.913,35.185,0.576,0.780,CD4 TEM_3,4
CD103,-0.480,35.597,0.590,0.789,CD4 TEM_3,5
CD8,-0.837,35.402,0.601,0.785,CD4 TEM_3,6
CD278,-1.549,36.744,0.645,0.815,CD4 TEM_3,7
CD271,-0.379,36.840,0.645,0.817,CD4 TEM_3,8
CD126,-1.629,36.841,0.654,0.817,CD4 TEM_3,9
CD81,-0.605,36.801,0.655,0.816,CD4 TEM_3,10
CD103,1.838,284.667,0.012,0.250,CD4 TEM_4,1
CD127,1.717,427.000,0.037,0.375,CD4 TEM_4,2
CD134,0.430,427.000,0.037,0.375,CD4 TEM_4,3
`CD138-2`,-1.623,455.467,0.049,0.400,CD4 TEM_4,4
CD226,-0.299,414.061,0.049,0.364,CD4 TEM_4,5
CD45RO,1.741,495.072,0.123,0.435,CD4 TEM_4,6
CD62E,1.564,501.013,0.136,0.440,CD4 TEM_4,7
CD272,-1.402,616.778,0.160,0.542,CD4 TEM_4,8
CD99,-1.416,610.000,0.185,0.536,CD4 TEM_4,9
CD278,0.959,667.494,0.210,0.586,CD4 TEM_4,10
`CD4-1`,1.398,38.018,0.001,0.500,Treg Memory,1
CD25,1.615,40.684,0.120,0.535,Treg Memory,2
TIGIT,2.848,46.870,0.266,0.616,Treg Memory,3
CD27,1.419,46.843,0.291,0.616,Treg Memory,4
CD194,1.718,48.944,0.316,0.644,Treg Memory,5
CD127,-2.926,49.995,0.415,0.658,Treg Memory,6
`CD38-1`,-1.558,51.177,0.463,0.673,Treg Memory,7
CD196,-0.472,51.336,0.459,0.675,Treg Memory,8
CD18,-0.746,51.336,0.459,0.675,Treg Memory,9
CD45RB,-1.779,53.298,0.483,0.701,Treg Memory,10
CD25,2.792,21.251,0.100,0.299,Treg Naive,1
`CD4-1`,2.095,27.408,0.136,0.385,Treg Naive,2
GP130,2.178,43.024,0.328,0.605,Treg Naive,3
CD45RA,2.048,50.479,0.471,0.709,Treg Naive,4
CD325,1.185,51.136,0.502,0.719,Treg Naive,5
`CD44-1`,-3.298,53.846,0.595,0.757,Treg Naive,6
CD49d,-1.284,54.103,0.617,0.760,Treg Naive,7
CD127,-1.874,54.313,0.637,0.763,Treg Naive,8
`CD38-1`,-1.109,54.628,0.647,0.768,Treg Naive,9
CD41,-0.337,54.644,0.648,0.768,Treg Naive,10
CD8,2.939,6.217,0.016,0.303,CD8 Naive,1
CD27,0.783,12.083,0.428,0.590,CD8 Naive,2
CD45RA,2.889,16.267,0.729,0.794,CD8 Naive,3
CD31,1.330,16.798,0.771,0.820,CD8 Naive,4
CD55,3.105,17.737,0.822,0.866,CD8 Naive,5
CD49d,-3.091,18.794,0.903,0.917,CD8 Naive,6
CD99,-3.524,19.227,0.929,0.938,CD8 Naive,7
CD244,-1.920,19.217,0.935,0.938,CD8 Naive,8
CD196,-1.221,19.207,0.934,0.937,CD8 Naive,9
CD47,-1.599,19.251,0.938,0.939,CD8 Naive,10
CD8a,1.828,316.948,0.003,1.000,CD8 Naive_2,1
`CD38-1`,2.337,132.062,0.052,0.417,CD8 Naive_2,2
CD278,1.822,197.754,0.251,0.624,CD8 Naive_2,3
`HLA-DR`,-0.317,197.754,0.251,0.624,CD8 Naive_2,4
CD200,1.154,197.398,0.244,0.623,CD8 Naive_2,5
CD102,-1.833,199.075,0.261,0.628,CD8 Naive_2,6
CD61,1.433,200.311,0.271,0.632,CD8 Naive_2,7
`CD44-2`,0.255,202.639,0.268,0.639,CD8 Naive_2,8
CX3CR1,-1.591,197.483,0.278,0.623,CD8 Naive_2,9
CD48,-1.168,194.865,0.285,0.615,CD8 Naive_2,10
CD43,2.025,1002.522,0.011,1.000,CD8 Proliferating,1
CD71,1.315,501.261,0.011,0.500,CD8 Proliferating,2
`CD3-2`,0.257,334.174,0.011,0.333,CD8 Proliferating,3
`CD275-1`,0.902,501.261,0.011,0.500,CD8 Proliferating,4
CD279,0.744,334.174,0.011,0.333,CD8 Proliferating,5
`TCR-V-9`,-1.073,501.261,0.011,0.500,CD8 Proliferating,6
CD73,-1.550,501.261,0.011,0.500,CD8 Proliferating,7
CD99,-0.557,501.261,0.011,0.500,CD8 Proliferating,8
